ra,dec,name,type,peak
232.168279,32.152119,J152840.38_320907.5,Gauss,167.31
348.314731,12.218777,J231315.54_121307.6,Gauss,1000.21
160.709856,24.960668,104250.36_245738.4,Gauss,1231.12
230.121093,28.991173,J152029.06_285928.1,Gauss,883.26
126.138949,29.547172,J082433.35_293249.7,Gauss,1233.13
167.680916,16.245862,J111043.42_161445.0,Gauss,1085.04
173.122023,30.931707,J113229.29_305554.1,Gauss,814.52
354.649753,2.78496,J233835.93_024705.7,Gauss,253.62
211.52087,18.169372,J140605.00_181009.6,Gauss,972.33
261.161997,9.733925,J172438.88_094402.04,Gauss,380.57
221.414219,9.305047,J144539.40_091818.0,Gauss,356.92
202.213291,25.880184,J132851.19_255248.6,Gauss,901.29
144.127,49.710623,J093630.49_494238.17,Gauss,732.19
128.450671,42.886522,J083348.16_425311.4,Gauss,1278.12
359.874109,7.297387,J235929.78_071750.5,Gauss,1344.36
333.208547,19.757725,J221250.02_194527.08,Gauss,1294.74
219.205637,12.699605,J143649.35_124158.50,Gauss,1409.96
127.377477,27.472991,082930.60_272822.7,Gauss,866.51
240.716864,17.489088,J160252.04_172920.7,Gauss,1082.16
18.846705,30.522063,J011523.20_303119.4,Gauss,139.29
200.954827,20.087295,132349.16_200514.2,Gauss,629.91
163.904243,40.151493,105537.01_400905.3,Gauss,234.47
146.288221,19.90286,094509.17_195410.2,Gauss,63.45
136.061459,34.715999,J090414.75_344257.5,Gauss,1312.12
153.437621,18.896617,J101345.02_185347.75,Gauss,57.29
197.501402,31.266095,J131000.33_311557.8,Gauss,1199.78
133.979954,25.68894,J085555.19_254120.0,Gauss,372.44
5.601726,1.792013,J002224.41_014731.2,Gauss,201.19
188.496334,37.067009,J123359.12_370401.1,Gauss,306.99
184.314583,21.213764,J121715.49_211249.5,Gauss,99.9
202.681687,14.349438,133043.60_142057.9,Gauss,235.19
164.845189,40.642567,J105922.85_403833.1,Gauss,1536.61
354.484599,-0.553027,J233756.29-003310.74,Gauss,703.32
172.165962,-1.991143,J112839.83-015928.1,Gauss,1551.56
195.229852,17.49878,J130055.17_172955.4,Gauss,938.22
220.948201,19.218854,J144347.57_191307.8,Gauss,424.16
218.165345,29.291035,J143239.67_291727.7,Gauss,1243.36
177.039674,20.530951,J114809.52_203151.3,Gauss,95.86
204.445631,23.15371,J133746.95_230913.37,Gauss,911.24
129.162712,16.569675,083639.05_163410.7,Gauss,1531.84
349.317711,23.871825,J231716.25_235218.5,Gauss,1149.4
333.071299,3.844682,J221217.09_035041.3,Gauss,677.8
200.67324,18.571783,132241.57_183418.3,Gauss,889.16
130.390691,22.703534,J084133.77_224212.70,Gauss,1890.61
183.842273,19.468826,J121522.15_192807.7,Gauss,132.03
193.462053,54.630472,J125350.89_543749.7,Gauss,1745.74
202.286351,49.017745,132908.72_490103.8,Gauss,171.62
153.456728,34.764114,J101349.61_344550.8,Gauss,1023.37
349.714313,23.073456,J231851.43_230424.4,Gauss,1519.85
177.563538,21.545829,J115015.24_213244.8,Gauss,1022.96
244.879756,44.773742,J161931.14_444625.42,Gauss,1223.89
251.471386,30.745162,J164553.14_304442.48,Gauss,1058.59
159.389225,26.135092,J103733.41_260806.3,Gauss,1012.42
23.413144,28.448958,J013339.15_282656.1,Gauss,1051.35
157.820227,5.021073,J103116.85_050115.82,Gauss,591.08
242.204365,4.888405,J160849.05_045318.13,Gauss,936.22
164.966273,40.853957,105951.91_405114.2,Gauss,62.2
168.396874,40.543887,J111335.24_403237.9,Gauss,1915.56
185.242031,26.934804,122058.08_265605.2,Gauss,1118.54
230.810818,43.240059,J152314.60_431424.09,Gauss,1071.3
202.937004,16.868943,J133144.88_165208.00,Gauss,866.57
178.018252,6.700887,J115204.38_064203.2,Gauss,126.76
203.05019,43.720725,J133212.05_434314.6,Gauss,1359.58
170.744894,16.76124,112258.77_164540.3,Gauss,1866.63
344.645799,23.928907,J225835.00_235544.0,Gauss,619.83
210.484841,55.68522,J140156.35_554106.81,Gauss,170.43
152.70061,49.977801,J101048.14_495840.08,Gauss,1099.29
173.421102,3.362887,J113341.07_032146.2,Gauss,463.12
154.451806,21.096129,J101748.43_210546.0,Gauss,269.45
188.098081,8.442702,J123223.54_082633.7,Gauss,591.78
15.20735,9.493394,010049.77_092936.1,Gauss,436.61
189.144269,27.803654,J123634.62_274813.1,Gauss,96.19
358.824582,11.55279,235517.90_113310.1,Gauss,71.86
211.834434,15.422278,J140720.26_152520.1,Gauss,1833.47
130.936866,35.466194,J084344.86_352758.2,Gauss,403.29
182.795101,25.14174,J121110.97_250831.30,Gauss,385.29
342.67995,22.532148,J225043.19_223155.7,Gauss,282.84
137.457183,15.255947,J090949.73_151521.38,Gauss,310.48
190.283403,44.759287,J124108.01_444533.3,Gauss,843.23
164.090018,26.636185,J105621.60_263810.1,Gauss,1003.26
208.279866,52.455624,135307.17_522720.3,Gauss,904.4
139.67516,3.404711,J091842.04_032416.9,Gauss,643.7
162.96408,33.658986,J105151.38_333932.2,Gauss,1465.38
